file,million fragments
SRR8897650.fastq.gz,26.10083300000000000000
SRR8897624.fastq.gz,26.13678000000000000000
SRR8897641.fastq.gz,26.28540300000000000000
SRR8897631.fastq.gz,26.26405400000000000000
SRR8897647.fastq.gz,26.29053100000000000000
SRR8897636.fastq.gz,26.21770700000000000000
SRR8897649.fastq.gz,25.45701300000000000000
SRR8897627.fastq.gz,26.26454700000000000000
SRR8897639.fastq.gz,26.28145900000000000000
SRR8897638.fastq.gz,26.29516400000000000000
SRR8897626.fastq.gz,26.30034400000000000000
SRR8897644.fastq.gz,26.22920500000000000000
SRR8897629.fastq.gz,26.29813400000000000000
SRR8897643.fastq.gz,26.27898500000000000000
SRR8897628.fastq.gz,26.25124000000000000000
SRR8897630.fastq.gz,26.27812300000000000000
SRR8897642.fastq.gz,26.27764500000000000000
SRR8897651.fastq.gz,26.16255300000000000000
SRR8897625.fastq.gz,26.29368800000000000000
SRR8897648.fastq.gz,26.19620000000000000000
SRR8897652.fastq.gz,24.11884300000000000000
SRR8897640.fastq.gz,26.29866200000000000000
SRR8897633.fastq.gz,26.23721100000000000000
SRR8897646.fastq.gz,26.28558800000000000000
SRR8897635.fastq.gz,26.24638200000000000000
SRR8897634.fastq.gz,24.99261300000000000000
SRR8897632.fastq.gz,25.98983900000000000000
SRR8897645.fastq.gz,26.24833300000000000000
SRR8897637.fastq.gz,26.29972800000000000000
