Started job on	Dec 10 20:01:06
Started mapping on	Dec 10 20:03:54
Finished on	Dec 10 20:05:41
Mapping speed, Million of reads per hour	1199.60
Number of input reads	35654800
Average input read length	49
Uniquely mapped reads number	30602089
Uniquely mapped reads %	85.83%
Average mapped length	49.19
Number of splices: Total	3770638
Number of splices: Annotated (sjdb)	3745966
Number of splices: GT/AG	3728527
Number of splices: GC/AG	25686
Number of splices: AT/AC	1813
Number of splices: Non-canonical	14612
Mismatch rate per base, %	0.26%
Deletion rate per base	0.01%
Deletion average length	1.60
Insertion rate per base	0.00%
Insertion average length	1.27
Number of reads mapped to multiple loci	4456743
% of reads mapped to multiple loci	12.50%
Number of reads mapped to too many loci	272892
% of reads mapped to too many loci	0.77%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	265497
% of reads unmapped: too short	0.74%
Number of reads unmapped: other	57579
% of reads unmapped: other	0.16%
Number of chimeric reads	189085
% of chimeric reads	0.53%
