Started job on	Dec 10 21:06:33
Started mapping on	Dec 10 21:10:15
Finished on	Dec 10 21:13:08
Mapping speed, Million of reads per hour	1203.43
Number of input reads	57831675
Average input read length	49
Uniquely mapped reads number	49201977
Uniquely mapped reads %	85.08%
Average mapped length	49.18
Number of splices: Total	6194325
Number of splices: Annotated (sjdb)	6154175
Number of splices: GT/AG	6122740
Number of splices: GC/AG	43299
Number of splices: AT/AC	3396
Number of splices: Non-canonical	24890
Mismatch rate per base, %	0.31%
Deletion rate per base	0.01%
Deletion average length	1.57
Insertion rate per base	0.00%
Insertion average length	1.30
Number of reads mapped to multiple loci	7488906
% of reads mapped to multiple loci	12.95%
Number of reads mapped to too many loci	568436
% of reads mapped to too many loci	0.98%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	487537
% of reads unmapped: too short	0.84%
Number of reads unmapped: other	84819
% of reads unmapped: other	0.15%
Number of chimeric reads	322498
% of chimeric reads	0.56%
