Started job on	Dec 10 19:33:29
Started mapping on	Dec 10 19:37:58
Finished on	Dec 10 19:41:44
Mapping speed, Million of reads per hour	1241.52
Number of input reads	77939860
Average input read length	49
Uniquely mapped reads number	66045776
Uniquely mapped reads %	84.74%
Average mapped length	49.18
Number of splices: Total	7842260
Number of splices: Annotated (sjdb)	7786242
Number of splices: GT/AG	7751997
Number of splices: GC/AG	53590
Number of splices: AT/AC	4518
Number of splices: Non-canonical	32155
Mismatch rate per base, %	0.29%
Deletion rate per base	0.01%
Deletion average length	1.69
Insertion rate per base	0.00%
Insertion average length	1.29
Number of reads mapped to multiple loci	10468733
% of reads mapped to multiple loci	13.43%
Number of reads mapped to too many loci	665761
% of reads mapped to too many loci	0.85%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	649461
% of reads unmapped: too short	0.83%
Number of reads unmapped: other	110129
% of reads unmapped: other	0.14%
Number of chimeric reads	447159
% of chimeric reads	0.57%
