Started job on	Dec 10 20:37:08
Started mapping on	Dec 10 20:40:37
Finished on	Dec 10 20:43:06
Mapping speed, Million of reads per hour	1189.07
Number of input reads	49214373
Average input read length	49
Uniquely mapped reads number	42277941
Uniquely mapped reads %	85.91%
Average mapped length	49.20
Number of splices: Total	5211390
Number of splices: Annotated (sjdb)	5178984
Number of splices: GT/AG	5150356
Number of splices: GC/AG	37275
Number of splices: AT/AC	2921
Number of splices: Non-canonical	20838
Mismatch rate per base, %	0.25%
Deletion rate per base	0.01%
Deletion average length	1.59
Insertion rate per base	0.00%
Insertion average length	1.29
Number of reads mapped to multiple loci	6100071
% of reads mapped to multiple loci	12.39%
Number of reads mapped to too many loci	397402
% of reads mapped to too many loci	0.81%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	363798
% of reads unmapped: too short	0.74%
Number of reads unmapped: other	75161
% of reads unmapped: other	0.15%
Number of chimeric reads	260886
% of chimeric reads	0.53%
