Started job on	Dec 10 22:20:56
Started mapping on	Dec 10 22:24:07
Finished on	Dec 10 22:26:17
Mapping speed, Million of reads per hour	1236.81
Number of input reads	44662513
Average input read length	49
Uniquely mapped reads number	38209371
Uniquely mapped reads %	85.55%
Average mapped length	49.20
Number of splices: Total	4656863
Number of splices: Annotated (sjdb)	4629290
Number of splices: GT/AG	4601675
Number of splices: GC/AG	33703
Number of splices: AT/AC	2542
Number of splices: Non-canonical	18943
Mismatch rate per base, %	0.26%
Deletion rate per base	0.01%
Deletion average length	1.61
Insertion rate per base	0.00%
Insertion average length	1.27
Number of reads mapped to multiple loci	5696130
% of reads mapped to multiple loci	12.75%
Number of reads mapped to too many loci	360509
% of reads mapped to too many loci	0.81%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	330799
% of reads unmapped: too short	0.74%
Number of reads unmapped: other	65704
% of reads unmapped: other	0.15%
Number of chimeric reads	232954
% of chimeric reads	0.52%
