Started job on	Dec 10 19:50:31
Started mapping on	Dec 10 19:53:44
Finished on	Dec 10 19:56:00
Mapping speed, Million of reads per hour	1214.88
Number of input reads	45895421
Average input read length	49
Uniquely mapped reads number	39009303
Uniquely mapped reads %	85.00%
Average mapped length	49.19
Number of splices: Total	4900109
Number of splices: Annotated (sjdb)	4867265
Number of splices: GT/AG	4843501
Number of splices: GC/AG	33687
Number of splices: AT/AC	2750
Number of splices: Non-canonical	20171
Mismatch rate per base, %	0.28%
Deletion rate per base	0.01%
Deletion average length	1.57
Insertion rate per base	0.00%
Insertion average length	1.29
Number of reads mapped to multiple loci	5995775
% of reads mapped to multiple loci	13.06%
Number of reads mapped to too many loci	428857
% of reads mapped to too many loci	0.93%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	397448
% of reads unmapped: too short	0.87%
Number of reads unmapped: other	64038
% of reads unmapped: other	0.14%
Number of chimeric reads	260337
% of chimeric reads	0.57%
