Started job on	Dec 10 20:28:16
Started mapping on	Dec 10 20:31:08
Finished on	Dec 10 20:32:59
Mapping speed, Million of reads per hour	1183.23
Number of input reads	36483002
Average input read length	49
Uniquely mapped reads number	31079039
Uniquely mapped reads %	85.19%
Average mapped length	49.19
Number of splices: Total	3948793
Number of splices: Annotated (sjdb)	3925441
Number of splices: GT/AG	3903799
Number of splices: GC/AG	26790
Number of splices: AT/AC	2083
Number of splices: Non-canonical	16121
Mismatch rate per base, %	0.28%
Deletion rate per base	0.01%
Deletion average length	1.64
Insertion rate per base	0.00%
Insertion average length	1.31
Number of reads mapped to multiple loci	4675165
% of reads mapped to multiple loci	12.81%
Number of reads mapped to too many loci	369929
% of reads mapped to too many loci	1.01%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	302584
% of reads unmapped: too short	0.83%
Number of reads unmapped: other	56285
% of reads unmapped: other	0.15%
Number of chimeric reads	203966
% of chimeric reads	0.56%
