file,million fragments
233_S4_R1_001.fastq.gz,79.04255900000000000000
192_S2_R1_001.fastq.gz,77.93986000000000000000
194_S8_R1_001.fastq.gz,45.89542100000000000000
216_S4_R1_001.fastq.gz,35.65480000000000000000
180_S1_R1_001.fastq.gz,47.02603600000000000000
234_S10_R1_001.fastq.gz,34.24476400000000000000
190_S2_R1_001.fastq.gz,36.48300200000000000000
228_S5_R1_001.fastq.gz,49.21437300000000000000
193_S7_R1_001.fastq.gz,38.41083100000000000000
215_S3_R1_001.fastq.gz,38.59539000000000000000
191_S8_R1_001.fastq.gz,57.83167500000000000000
182_S1_R1_001.fastq.gz,80.82625100000000000000
221_S9_R1_001.fastq.gz,37.58294900000000000000
181_S7_R1_001.fastq.gz,58.25573300000000000000
230_S11_R1_001.fastq.gz,61.95252200000000000000
184_S6_R1_001.fastq.gz,38.41669700000000000000
229_S6_R1_001.fastq.gz,44.66251300000000000000
219_S3_R1_001.fastq.gz,85.76138600000000000000
218_S10_R1_001.fastq.gz,54.18809800000000000000
217_S9_R1_001.fastq.gz,57.47964800000000000000
231_S12_R1_001.fastq.gz,52.90600100000000000000
183_S5_R1_001.fastq.gz,37.05669200000000000000
