Started job on	Dec 10 21:19:29
Started mapping on	Dec 10 21:23:59
Finished on	Dec 10 21:27:52
Mapping speed, Million of reads per hour	1248.82
Number of input reads	80826251
Average input read length	49
Uniquely mapped reads number	69272503
Uniquely mapped reads %	85.71%
Average mapped length	49.17
Number of splices: Total	9286397
Number of splices: Annotated (sjdb)	9244121
Number of splices: GT/AG	9188865
Number of splices: GC/AG	60956
Number of splices: AT/AC	4227
Number of splices: Non-canonical	32349
Mismatch rate per base, %	0.24%
Deletion rate per base	0.01%
Deletion average length	1.54
Insertion rate per base	0.00%
Insertion average length	1.29
Number of reads mapped to multiple loci	9852385
% of reads mapped to multiple loci	12.19%
Number of reads mapped to too many loci	887752
% of reads mapped to too many loci	1.10%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	682429
% of reads unmapped: too short	0.84%
Number of reads unmapped: other	131182
% of reads unmapped: other	0.16%
Number of chimeric reads	447879
% of chimeric reads	0.55%
