Started job on	Dec 10 20:48:24
Started mapping on	Dec 10 20:51:20
Finished on	Dec 10 20:53:15
Mapping speed, Million of reads per hour	1202.43
Number of input reads	38410831
Average input read length	49
Uniquely mapped reads number	32584184
Uniquely mapped reads %	84.83%
Average mapped length	49.19
Number of splices: Total	4041475
Number of splices: Annotated (sjdb)	4014189
Number of splices: GT/AG	3996662
Number of splices: GC/AG	27053
Number of splices: AT/AC	2172
Number of splices: Non-canonical	15588
Mismatch rate per base, %	0.28%
Deletion rate per base	0.01%
Deletion average length	1.67
Insertion rate per base	0.00%
Insertion average length	1.28
Number of reads mapped to multiple loci	5063752
% of reads mapped to multiple loci	13.18%
Number of reads mapped to too many loci	360999
% of reads mapped to too many loci	0.94%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	350621
% of reads unmapped: too short	0.91%
Number of reads unmapped: other	51275
% of reads unmapped: other	0.13%
Number of chimeric reads	225227
% of chimeric reads	0.59%
