Started job on	Dec 10 20:57:48
Started mapping on	Dec 10 21:00:43
Finished on	Dec 10 21:02:36
Mapping speed, Million of reads per hour	1229.59
Number of input reads	38595390
Average input read length	49
Uniquely mapped reads number	33242374
Uniquely mapped reads %	86.13%
Average mapped length	49.19
Number of splices: Total	4206184
Number of splices: Annotated (sjdb)	4179065
Number of splices: GT/AG	4158784
Number of splices: GC/AG	29002
Number of splices: AT/AC	2137
Number of splices: Non-canonical	16261
Mismatch rate per base, %	0.26%
Deletion rate per base	0.01%
Deletion average length	1.52
Insertion rate per base	0.00%
Insertion average length	1.27
Number of reads mapped to multiple loci	4707118
% of reads mapped to multiple loci	12.20%
Number of reads mapped to too many loci	304527
% of reads mapped to too many loci	0.79%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	290688
% of reads unmapped: too short	0.75%
Number of reads unmapped: other	50683
% of reads unmapped: other	0.13%
Number of chimeric reads	198891
% of chimeric reads	0.52%
