Started job on	Dec 10 23:00:10
Started mapping on	Dec 10 23:03:51
Finished on	Dec 10 23:06:45
Mapping speed, Million of reads per hour	1189.23
Number of input reads	57479648
Average input read length	49
Uniquely mapped reads number	49367391
Uniquely mapped reads %	85.89%
Average mapped length	49.20
Number of splices: Total	5935086
Number of splices: Annotated (sjdb)	5893033
Number of splices: GT/AG	5865440
Number of splices: GC/AG	42501
Number of splices: AT/AC	2872
Number of splices: Non-canonical	24273
Mismatch rate per base, %	0.30%
Deletion rate per base	0.01%
Deletion average length	1.64
Insertion rate per base	0.00%
Insertion average length	1.29
Number of reads mapped to multiple loci	7142294
% of reads mapped to multiple loci	12.43%
Number of reads mapped to too many loci	445279
% of reads mapped to too many loci	0.77%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	430407
% of reads unmapped: too short	0.75%
Number of reads unmapped: other	94277
% of reads unmapped: other	0.16%
Number of chimeric reads	297582
% of chimeric reads	0.52%
