Started job on	Dec 10 21:36:46
Started mapping on	Dec 10 21:39:39
Finished on	Dec 10 21:41:28
Mapping speed, Million of reads per hour	1241.27
Number of input reads	37582949
Average input read length	49
Uniquely mapped reads number	32330536
Uniquely mapped reads %	86.02%
Average mapped length	49.20
Number of splices: Total	3949569
Number of splices: Annotated (sjdb)	3923662
Number of splices: GT/AG	3903560
Number of splices: GC/AG	27652
Number of splices: AT/AC	1990
Number of splices: Non-canonical	16367
Mismatch rate per base, %	0.26%
Deletion rate per base	0.01%
Deletion average length	1.59
Insertion rate per base	0.00%
Insertion average length	1.29
Number of reads mapped to multiple loci	4651546
% of reads mapped to multiple loci	12.38%
Number of reads mapped to too many loci	263728
% of reads mapped to too many loci	0.70%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	281776
% of reads unmapped: too short	0.75%
Number of reads unmapped: other	55363
% of reads unmapped: other	0.15%
Number of chimeric reads	192851
% of chimeric reads	0.51%
