file,million fragments
SRR2015780_1.fastq.gz,45.35480800000000000000
SRR2015777_1.fastq.gz,47.36805200000000000000
SRR2015761_1.fastq.gz,36.07179100000000000000
SRR2015765_1.fastq.gz,30.54245600000000000000
SRR2015779_1.fastq.gz,46.33049600000000000000
SRR2015773_1.fastq.gz,28.36781600000000000000
SRR2015754_1.fastq.gz,61.55919900000000000000
SRR2015713_1.fastq.gz,60.05421700000000000000
SRR2015758_1.fastq.gz,40.64421700000000000000
SRR2015756_1.fastq.gz,38.59948900000000000000
SRR2015764_1.fastq.gz,54.09927200000000000000
SRR2015722_1.fastq.gz,59.16355800000000000000
SRR2015757_1.fastq.gz,30.72537900000000000000
SRR2015734_1.fastq.gz,31.49491100000000000000
SRR2015785_1.fastq.gz,39.00056200000000000000
SRR2015781_1.fastq.gz,39.56115500000000000000
SRR2015778_1.fastq.gz,56.29194400000000000000
SRR2015741_1.fastq.gz,30.50954900000000000000
SRR2015771_1.fastq.gz,48.65162800000000000000
SRR2015733_1.fastq.gz,47.24671800000000000000
SRR2015755_1.fastq.gz,40.34818000000000000000
SRR2015721_1.fastq.gz,46.85134200000000000000
SRR2015762_1.fastq.gz,32.05394200000000000000
SRR2015737_1.fastq.gz,32.00752800000000000000
SRR2015742_1.fastq.gz,37.44632500000000000000
SRR2015718_1.fastq.gz,33.06572900000000000000
SRR2015745_1.fastq.gz,51.97634000000000000000
SRR2015750_1.fastq.gz,72.54384600000000000000
SRR2015719_1.fastq.gz,34.64204600000000000000
SRR2015730_1.fastq.gz,41.84819200000000000000
SRR2015717_1.fastq.gz,31.80391900000000000000
SRR2015716_1.fastq.gz,75.33095800000000000000
SRR2015720_1.fastq.gz,30.27138800000000000000
SRR2015725_1.fastq.gz,61.87303500000000000000
SRR2015766_1.fastq.gz,35.85605400000000000000
SRR2015772_1.fastq.gz,33.41351100000000000000
SRR2015735_1.fastq.gz,27.90534200000000000000
SRR2015774_1.fastq.gz,31.71138800000000000000
SRR2015747_1.fastq.gz,41.88670000000000000000
SRR2015763_1.fastq.gz,52.63361000000000000000
SRR2015723_1.fastq.gz,44.73908000000000000000
SRR2015728_1.fastq.gz,42.99004900000000000000
SRR2015746_1.fastq.gz,47.69655000000000000000
SRR2015751_1.fastq.gz,49.97349200000000000000
SRR2015743_1.fastq.gz,42.65503500000000000000
SRR2015727_1.fastq.gz,36.11940900000000000000
SRR2015726_1.fastq.gz,33.87910400000000000000
SRR2015767_1.fastq.gz,24.43160900000000000000
SRR2015714_1.fastq.gz,19.21000200000000000000
SRR2015732_1.fastq.gz,36.56696800000000000000
SRR2015759_1.fastq.gz,38.44473000000000000000
SRR2015715_1.fastq.gz,37.92520300000000000000
SRR2015731_1.fastq.gz,31.71501900000000000000
SRR2015776_1.fastq.gz,10.02557700000000000000
SRR2015768_1.fastq.gz,35.62393400000000000000
SRR2015782_1.fastq.gz,63.77009400000000000000
SRR2015749_1.fastq.gz,64.22955100000000000000
SRR2015775_1.fastq.gz,32.81134400000000000000
SRR2015748_1.fastq.gz,57.85725100000000000000
SRR2015770_1.fastq.gz,36.75564600000000000000
SRR2015739_1.fastq.gz,35.49717600000000000000
SRR2015784_1.fastq.gz,39.49398200000000000000
SRR2015729_1.fastq.gz,54.24384000000000000000
SRR2015760_1.fastq.gz,35.39830000000000000000
SRR2015783_1.fastq.gz,61.64904700000000000000
SRR2015736_1.fastq.gz,36.29087600000000000000
SRR2015753_1.fastq.gz,41.45899200000000000000
SRR2015752_1.fastq.gz,42.94505800000000000000
SRR2015738_1.fastq.gz,36.64158500000000000000
SRR2015724_1.fastq.gz,30.02048900000000000000
SRR2015769_1.fastq.gz,45.32738400000000000000
SRR2015744_1.fastq.gz,83.52244000000000000000
SRR2015740_1.fastq.gz,31.15037700000000000000
