file,million fragments
SRR12604097_1.fastq.gz,40.38596900000000000000
SRR12604108_1.fastq.gz,61.13799200000000000000
SRR12604222_1.fastq.gz,140.08465500000000000000
SRR12604197_1.fastq.gz,36.63670000000000000000
SRR12604110_1.fastq.gz,58.64620900000000000000
SRR12604096_1.fastq.gz,43.22581000000000000000
SRR12604202_1.fastq.gz,36.32924000000000000000
SRR12604117_1.fastq.gz,47.63235000000000000000
SRR12604182_1.fastq.gz,38.77606000000000000000
SRR12604192_1.fastq.gz,39.63786900000000000000
SRR12604149_1.fastq.gz,56.69344400000000000000
SRR12604103_1.fastq.gz,37.25566400000000000000
SRR12604217_1.fastq.gz,48.85906100000000000000
SRR12604186_1.fastq.gz,46.94938500000000000000
SRR12604155_1.fastq.gz,47.02100400000000000000
SRR12604104_1.fastq.gz,39.85858100000000000000
SRR12604191_1.fastq.gz,40.64684500000000000000
SRR12604177_1.fastq.gz,29.42958900000000000000
SRR12604102_1.fastq.gz,40.85945600000000000000
SRR12604121_1.fastq.gz,19.12824600000000000000
SRR12604171_1.fastq.gz,44.46779400000000000000
SRR12604141_1.fastq.gz,63.02904600000000000000
SRR12604159_1.fastq.gz,35.45909400000000000000
SRR12604119_1.fastq.gz,43.01343200000000000000
SRR12604163_1.fastq.gz,35.66371800000000000000
SRR12604145_1.fastq.gz,61.15961300000000000000
SRR12604109_1.fastq.gz,52.79153200000000000000
SRR12604196_1.fastq.gz,29.91167200000000000000
SRR12604094_1.fastq.gz,39.01549900000000000000
SRR12604164_1.fastq.gz,37.05144700000000000000
SRR12604132_1.fastq.gz,51.05846100000000000000
SRR12604210_1.fastq.gz,49.33148900000000000000
SRR12604128_1.fastq.gz,70.04527000000000000000
SRR12604184_1.fastq.gz,67.53838400000000000000
SRR12604219_1.fastq.gz,48.82693900000000000000
SRR12604227_1.fastq.gz,47.16683300000000000000
SRR12604207_1.fastq.gz,44.37487900000000000000
SRR12604173_1.fastq.gz,39.20500300000000000000
SRR12604151_1.fastq.gz,45.91538800000000000000
SRR12604195_1.fastq.gz,35.45393800000000000000
SRR12604115_1.fastq.gz,56.01547500000000000000
SRR12604093_1.fastq.gz,42.22266500000000000000
SRR12604185_1.fastq.gz,43.98529000000000000000
SRR12604118_1.fastq.gz,44.76041800000000000000
SRR12604150_1.fastq.gz,47.36126000000000000000
SRR12604105_1.fastq.gz,40.11635800000000000000
SRR12604142_1.fastq.gz,56.97443800000000000000
SRR12604124_1.fastq.gz,50.42768500000000000000
SRR12604203_1.fastq.gz,32.12235200000000000000
SRR12604133_1.fastq.gz,54.94452200000000000000
SRR12604170_1.fastq.gz,40.36643100000000000000
SRR12604140_1.fastq.gz,56.04721300000000000000
SRR12604123_1.fastq.gz,65.55590800000000000000
SRR12604204_1.fastq.gz,38.61551100000000000000
SRR12604166_1.fastq.gz,35.97577300000000000000
SRR12604092_1.fastq.gz,38.84987200000000000000
SRR12604136_1.fastq.gz,45.77767600000000000000
SRR12604176_1.fastq.gz,44.82743400000000000000
SRR12604221_1.fastq.gz,46.57672100000000000000
SRR12604106_1.fastq.gz,37.32004200000000000000
SRR12604225_1.fastq.gz,49.56641900000000000000
SRR12604224_1.fastq.gz,47.34167700000000000000
SRR12604212_1.fastq.gz,50.85194700000000000000
SRR12604162_1.fastq.gz,40.93315400000000000000
SRR12604144_1.fastq.gz,48.19451600000000000000
SRR12604179_1.fastq.gz,34.80744800000000000000
SRR12604200_1.fastq.gz,63.98083700000000000000
SRR12604214_1.fastq.gz,46.55637000000000000000
SRR12604205_1.fastq.gz,31.64158700000000000000
SRR12604153_1.fastq.gz,54.05047800000000000000
SRR12604208_1.fastq.gz,49.30416600000000000000
SRR12604125_1.fastq.gz,36.14699200000000000000
